date,year,month,day,day_of_week,is_weekend,WeatherStationName_en,daily_mean_temp,daily_max_temp,daily_min_temp,index_right,District_no,District
2025/5/4,2025,5,4,Sunday,1,Hong Kong International Airport,27.6,31.1,25.6,17,T,Islands
2025/5/5,2025,5,5,Monday,0,Hong Kong International Airport,28,31.8,26.2,17,T,Islands
2025/5/6,2025,5,6,Tuesday,0,Hong Kong International Airport,29,32.2,27.2,17,T,Islands
2025/5/7,2025,5,7,Wednesday,0,Hong Kong International Airport,27,28.7,24.2,17,T,Islands
2025/5/8,2025,5,8,Thursday,0,Hong Kong International Airport,27.7,30,25.6,17,T,Islands
2025/5/9,2025,5,9,Friday,0,Hong Kong International Airport,26.9,29.9,24.1,17,T,Islands
2025/5/10,2025,5,10,Saturday,1,Hong Kong International Airport,26.8,30.1,24.6,17,T,Islands
2025/5/11,2025,5,11,Sunday,1,Hong Kong International Airport,24.9,28.5,21.7,17,T,Islands
2025/5/12,2025,5,12,Monday,0,Hong Kong International Airport,25.4,29.1,21.8,17,T,Islands
2025/5/13,2025,5,13,Tuesday,0,Hong Kong International Airport,26.1,29.3,23.3,17,T,Islands
2025/5/14,2025,5,14,Wednesday,0,Hong Kong International Airport,27.8,31,25.2,17,T,Islands
2025/5/15,2025,5,15,Thursday,0,Hong Kong International Airport,28.4,32,26.2,17,T,Islands
2025/5/16,2025,5,16,Friday,0,Hong Kong International Airport,28.4,31.3,26.6,17,T,Islands
2025/5/17,2025,5,17,Saturday,1,Hong Kong International Airport,29,32.3,26.7,17,T,Islands
2025/5/18,2025,5,18,Sunday,1,Hong Kong International Airport,29.5,33.1,27.5,17,T,Islands
2025/5/19,2025,5,19,Monday,0,Hong Kong International Airport,29.3,31.8,27.8,17,T,Islands
2025/5/20,2025,5,20,Tuesday,0,Hong Kong International Airport,29.4,31.3,26.5,17,T,Islands
2025/5/21,2025,5,21,Wednesday,0,Hong Kong International Airport,30.1,32.6,28.6,17,T,Islands
2025/5/22,2025,5,22,Thursday,0,Hong Kong International Airport,30.6,34.1,28.6,17,T,Islands
2025/5/23,2025,5,23,Friday,0,Hong Kong International Airport,30.1,34.3,25.1,17,T,Islands
2025/5/24,2025,5,24,Saturday,1,Hong Kong International Airport,27.7,30.9,26,17,T,Islands
2025/5/25,2025,5,25,Sunday,1,Hong Kong International Airport,25.6,27,24.5,17,T,Islands
2025/5/26,2025,5,26,Monday,0,Hong Kong International Airport,25.6,28.2,23.8,17,T,Islands
2025/5/27,2025,5,27,Tuesday,0,Hong Kong International Airport,26.8,30.5,24.3,17,T,Islands
2025/5/28,2025,5,28,Wednesday,0,Hong Kong International Airport,26.7,28.6,25.3,17,T,Islands
2025/5/29,2025,5,29,Thursday,0,Hong Kong International Airport,26.9,30,24.9,17,T,Islands
2025/5/30,2025,5,30,Friday,0,Hong Kong International Airport,25.2,26.9,24.2,17,T,Islands
2025/5/31,2025,5,31,Saturday,1,Hong Kong International Airport,26.5,29.3,24.6,17,T,Islands
2025/6/1,2025,6,1,Sunday,1,Hong Kong International Airport,28.4,32.1,25.3,17,T,Islands
2025/6/2,2025,6,2,Monday,0,Hong Kong International Airport,30.6,33.6,29,17,T,Islands
2025/6/3,2025,6,3,Tuesday,0,Hong Kong International Airport,28.4,30.2,26.7,17,T,Islands
2025/6/4,2025,6,4,Wednesday,0,Hong Kong International Airport,26.7,28.9,24.8,17,T,Islands
2025/6/5,2025,6,5,Thursday,0,Hong Kong International Airport,27,29.3,25.3,17,T,Islands
2025/6/6,2025,6,6,Friday,0,Hong Kong International Airport,28.5,31.8,26.3,17,T,Islands
2025/6/7,2025,6,7,Saturday,1,Hong Kong International Airport,29.8,33.9,27.3,17,T,Islands
2025/6/8,2025,6,8,Sunday,1,Hong Kong International Airport,30.6,35.1,28.2,17,T,Islands
2025/6/9,2025,6,9,Monday,0,Hong Kong International Airport,30.8,35,28,17,T,Islands
2025/6/10,2025,6,10,Tuesday,0,Hong Kong International Airport,31.5,36.1,28,17,T,Islands
2025/6/11,2025,6,11,Wednesday,0,Hong Kong International Airport,30.2,33.7,28.2,17,T,Islands
2025/6/12,2025,6,12,Thursday,0,Hong Kong International Airport,29.3,33.1,27,17,T,Islands
2025/6/13,2025,6,13,Friday,0,Hong Kong International Airport,27.7,30.7,25.9,17,T,Islands
2025/6/14,2025,6,14,Saturday,1,Hong Kong International Airport,29.2,30.4,26.8,17,T,Islands
2025/6/15,2025,6,15,Sunday,1,Hong Kong International Airport,29.6,32,28,17,T,Islands
2025/6/16,2025,6,16,Monday,0,Hong Kong International Airport,29.8,32.8,27.1,17,T,Islands
2025/6/17,2025,6,17,Tuesday,0,Hong Kong International Airport,28,29.5,24.6,17,T,Islands
2025/6/18,2025,6,18,Wednesday,0,Hong Kong International Airport,29.3,31.5,27.1,17,T,Islands
2025/6/19,2025,6,19,Thursday,0,Hong Kong International Airport,29.3,31.9,27.1,17,T,Islands
2025/6/20,2025,6,20,Friday,0,Hong Kong International Airport,29,31.3,27.1,17,T,Islands
2025/6/21,2025,6,21,Saturday,1,Hong Kong International Airport,29,31.7,26.6,17,T,Islands
2025/6/22,2025,6,22,Sunday,1,Hong Kong International Airport,29.8,32,26.4,17,T,Islands
2025/6/23,2025,6,23,Monday,0,Hong Kong International Airport,30.1,32.7,28.2,17,T,Islands
2025/6/24,2025,6,24,Tuesday,0,Hong Kong International Airport,30.5,34.1,28.7,17,T,Islands
2025/6/25,2025,6,25,Wednesday,0,Hong Kong International Airport,30.8,34.6,27.7,17,T,Islands
2025/6/26,2025,6,26,Thursday,0,Hong Kong International Airport,29.4,31.2,26.2,17,T,Islands
2025/6/27,2025,6,27,Friday,0,Hong Kong International Airport,29.1,31.6,26.6,17,T,Islands
2025/6/28,2025,6,28,Saturday,1,Hong Kong International Airport,29.4,32,27.2,17,T,Islands
2025/6/29,2025,6,29,Sunday,1,Hong Kong International Airport,29.3,32.1,26.2,17,T,Islands
2025/6/30,2025,6,30,Monday,0,Hong Kong International Airport,29.2,32,27.6,17,T,Islands
2025/7/1,2025,7,1,Tuesday,0,Hong Kong International Airport,28.9,31.2,26.6,17,T,Islands
2025/7/2,2025,7,2,Wednesday,0,Hong Kong International Airport,30.6,33.8,28,17,T,Islands
2025/7/3,2025,7,3,Thursday,0,Hong Kong International Airport,30.1,32.9,28.1,17,T,Islands
2025/7/4,2025,7,4,Friday,0,Hong Kong International Airport,30.9,34.2,28,17,T,Islands
2025/7/5,2025,7,5,Saturday,1,Hong Kong International Airport,30.5,34.7,27.8,17,T,Islands
